Калининский,3590000,4200000
Выборгский,2304000,4200000
Приморский,3008640,4750000
Петроградский,4650000,6100000
Василеостровский,3100000,5150000
Адмиралтейский,4300000,4950000
Кировский,3200000,4000000
Красносельский,2700000,3350000
Московский,3600000,3500000
Фрунзенский,3800000,4300000
Невский,2993858,4200000
Красногрвардейский,2069000,3500000
Центральный,4800000,4500000
